"county","tract","bg","cbsa","pop10","afact"
"County code","Tract","Block group","CBSA (current)","Population (2010)","bg to cbsa allocation factor"
"01001","0201.00","1","33860",698,1 
"01001","0201.00","2","33860",1214,1 
"01001","0202.00","1","33860",1003,1 
"01001","0202.00","2","33860",1167,1 
"01001","0203.00","1","33860",2549,1 
"01001","0203.00","2","33860",824,1 
"01001","0204.00","1","33860",944,1 
"01001","0204.00","2","33860",1937,1 
"01001","0204.00","3","33860",935,1 
"01001","0204.00","4","33860",570,1 
"01001","0205.00","1","33860",1737,1 
"01001","0205.00","2","33860",7023,1 
"01001","0205.00","3","33860",2006,1 
"01001","0206.00","1","33860",2423,1 
"01001","0206.00","2","33860",1245,1 
"01001","0207.00","1","33860",1784,1 
"01001","0207.00","2","33860",1107,1 
"01001","0208.01","1","33860",875,1 
"01001","0208.01","2","33860",2206,1 
"01001","0208.02","1","33860",2845,1 
"01001","0208.02","2","33860",3271,1 
"01001","0208.02","3","33860",1664,1 
"01001","0208.02","4","33860",2655,1 
"01001","0209.00","1","33860",1272,1 
"01001","0209.00","2","33860",1491,1 
"01001","0209.00","3","33860",1324,1 
"01001","0209.00","4","33860",1588,1 
"01001","0210.00","1","33860",908,1 
"01001","0210.00","2","33860",1986,1 
"01001","0211.00","1","33860",1944,1 
"01001","0211.00","2","33860",605,1 
"01001","0211.00","3","33860",771,1 
"01003","0101.00","1","19300",565,1 
"01003","0101.00","2","19300",1833,1 
"01003","0101.00","3","19300",1406,1 
"01003","0102.00","1","19300",1749,1 
"01003","0102.00","2","19300",1153,1 
"01003","0103.00","1","19300",3008,1 
"01003","0103.00","2","19300",3077,1 
"01003","0103.00","3","19300",1741,1 
"01003","0104.00","1","19300",784,1 
"01003","0104.00","2","19300",1361,1 
"01003","0104.00","3","19300",2591,1 
"01003","0105.00","1","19300",1436,1 
"01003","0105.00","2","19300",1026,1 
"01003","0105.00","3","19300",1420,1 
"01003","0105.00","4","19300",933,1 
"01003","0106.00","1","19300",819,1 
"01003","0106.00","2","19300",858,1 
"01003","0106.00","3","19300",1648,1 
"01003","0107.01","1","19300",3314,1 
"01003","0107.01","2","19300",2458,1 
"01003","0107.01","3","19300",1295,1 
"01003","0107.01","4","19300",815,1 
"01003","0107.03","1","19300",6422,1 
"01003","0107.03","2","19300",6744,1 
"01003","0107.04","1","19300",2652,1 
"01003","0107.04","2","19300",2403,1 
"01003","0107.05","1","19300",4344,1 
"01003","0107.05","2","19300",1851,1 
"01003","0107.05","3","19300",2136,1 
"01003","0108.00","1","19300",1702,1 
"01003","0108.00","2","19300",2697,1 
"01003","0108.00","3","19300",2462,1 
"01003","0109.03","1","19300",1380,1 
"01003","0109.03","2","19300",1746,1 
"01003","0109.03","3","19300",2047,1 
"01003","0109.04","1","19300",2626,1 
"01003","0109.04","2","19300",1901,1 
"01003","0109.04","3","19300",2304,1 
"01003","0109.05","1","19300",3396,1 
"01003","0109.05","2","19300",2903,1 
"01003","0109.05","3","19300",1712,1 
"01003","0109.06","1","19300",1674,1 
"01003","0109.06","2","19300",1577,1 
"01003","0109.06","3","19300",1051,1 
"01003","0110.00","1","19300",2038,1 
"01003","0110.00","2","19300",2267,1 
"01003","0111.01","1","19300",2512,1 
"01003","0111.01","2","19300",1906,1 
"01003","0111.01","3","19300",3979,1 
"01003","0111.02","1","19300",2112,1 
"01003","0111.02","2","19300",1603,1 
"01003","0112.01","1","19300",2461,1 
"01003","0112.01","2","19300",1769,1 
"01003","0112.02","1","19300",1259,1 
"01003","0112.02","2","19300",1448,1 
"01003","0112.02","3","19300",1733,1 
"01003","0112.02","4","19300",625,1 
"01003","0113.00","1","19300",891,1 
"01003","0113.00","2","19300",1484,1 
"01003","0113.00","3","19300",1031,1 
"01003","0113.00","4","19300",1081,1 
"01003","0114.01","1","19300",3030,1 
"01003","0114.01","2","19300",925,1 
"01003","0114.01","3","19300",1675,1 
"01003","0114.01","4","19300",3144,1 
"01003","0114.01","5","19300",1858,1 
"01003","0114.03","1","19300",2767,1 
"01003","0114.03","2","19300",2762,1 
"01003","0114.03","3","19300",3602,1 
"01003","0114.05","1","19300",2331,1 
"01003","0114.05","2","19300",1501,1 
"01003","0114.06","1","19300",1239,1 
"01003","0114.06","2","19300",426,1 
"01003","0114.06","3","19300",1747,1 
"01003","0114.07","1","19300",1551,1 
"01003","0114.07","2","19300",1283,1 
"01003","0114.07","3","19300",1965,1 
"01003","0114.08","1","19300",433,1 
"01003","0115.01","1","19300",2346,1 
"01003","0115.01","2","19300",974,1 
"01003","0115.01","3","19300",1996,1 
"01003","0115.02","1","19300",4240,1 
"01003","0115.02","2","19300",1323,1 
"01003","0115.02","3","19300",2753,1 
"01003","0115.02","4","19300",2218,1 
"01003","0116.01","1","19300",1732,1 
"01003","0116.01","2","19300",2171,1 
"01003","0116.01","3","19300",703,1 
"01003","0116.01","4","19300",1456,1 
"01003","0116.02","1","19300",1426,1 
"01003","0116.02","2","19300",1160,1 
"01003","0116.02","3","19300",818,1 
"01003","0116.02","4","19300",1491,1 
"01005","9501.00","1","21640",471,1 
"01005","9501.00","2","21640",1253,1 
"01005","9501.00","3","21640",1597,1 
"01005","9502.00","1","21640",828,1 
"01005","9502.00","2","21640",2321,1 
"01005","9502.00","3","21640",1115,1 
"01005","9503.00","1","21640",834,1 
"01005","9503.00","2","21640",804,1 
"01005","9504.00","1","21640",799,1 
"01005","9504.00","2","21640",2267,1 
"01005","9504.00","3","21640",1237,1 
"01005","9505.00","1","21640",1212,1 
"01005","9505.00","2","21640",1119,1 
"01005","9505.00","3","21640",1136,1 
"01005","9506.00","1","21640",659,1 
"01005","9506.00","2","21640",1440,1 
"01005","9507.00","1","21640",727,1 
"01005","9507.00","2","21640",1000,1 
"01005","9508.00","1","21640",799,1 
"01005","9508.00","2","21640",1256,1 
"01005","9509.00","1","21640",1556,1 
"01005","9509.00","2","21640",1985,1 
"01005","9509.00","3","21640",1042,1 
"01007","0100.01","1","13820",1825,1 
"01007","0100.01","2","13820",907,1 
"01007","0100.02","1","13820",2504,1 
"01007","0100.02","2","13820",1739,1 
"01007","0100.02","3","13820",1782,1 
"01007","0100.03","1","13820",885,1 
"01007","0100.03","2","13820",975,1 
"01007","0100.03","3","13820",1828,1 
"01007","0100.03","4","13820",1703,1 
"01007","0100.04","1","13820",879,1 
"01007","0100.04","2","13820",1268,1 
"01007","0100.04","3","13820",904,1 
"01007","0100.04","4","13820",3120,1 
"01007","0100.04","5","13820",1153,1 
"01007","0100.04","6","13820",1443,1 
"01009","0501.01","1","13820",1308,1 
"01009","0501.01","2","13820",1726,1 
"01009","0501.01","3","13820",1780,1 
"01009","0501.01","4","13820",1269,1 
"01009","0501.01","5","13820",1775,1 
"01009","0501.02","1","13820",1342,1 
"01009","0501.02","2","13820",2390,1 
