"county","tract","bg","ur","pop10","afact"
"County code","Tract","Block group","Urban/rural","Population (2010)","bg to ur allocation factor"
"01001","0201.00","1","R",174,0.2493 
"01001","0201.00","1","U",524,0.7507 
"01001","0201.00","2","R",144,0.1186 
"01001","0201.00","2","U",1070,0.8814 
"01001","0202.00","1","U",1003,1 
"01001","0202.00","2","U",1167,1 
"01001","0203.00","1","U",2549,1 
"01001","0203.00","2","U",824,1 
"01001","0204.00","1","U",944,1 
"01001","0204.00","2","U",1937,1 
"01001","0204.00","3","U",935,1 
"01001","0204.00","4","U",570,1 
"01001","0205.00","1","R",4,0.0023 
"01001","0205.00","1","U",1733,0.9977 
"01001","0205.00","2","U",7023,1 
"01001","0205.00","3","U",2006,1 
"01001","0206.00","1","U",2423,1 
"01001","0206.00","2","R",73,0.0586 
"01001","0206.00","2","U",1172,0.9414 
"01001","0207.00","1","R",386,0.2164 
"01001","0207.00","1","U",1398,0.7836 
"01001","0207.00","2","U",1107,1 
"01001","0208.01","1","R",702,0.8023 
"01001","0208.01","1","U",173,0.1977 
"01001","0208.01","2","R",1760,0.7978 
"01001","0208.01","2","U",446,0.2022 
"01001","0208.02","1","R",2844,0.9996 
"01001","0208.02","1","U",1,0.0004 
"01001","0208.02","2","R",1331,0.4069 
"01001","0208.02","2","U",1940,0.5931 
"01001","0208.02","3","R",1664,1 
"01001","0208.02","4","R",1950,0.7345 
"01001","0208.02","4","U",705,0.2655 
"01001","0209.00","1","R",1272,1 
"01001","0209.00","2","R",1491,1 
"01001","0209.00","3","R",1324,1 
"01001","0209.00","4","R",1588,1 
"01001","0210.00","1","R",908,1 
"01001","0210.00","2","R",1986,1 
"01001","0211.00","1","R",1944,1 
"01001","0211.00","2","R",605,1 
"01001","0211.00","3","R",771,1 
"01003","0101.00","1","R",565,1 
"01003","0101.00","2","R",1833,1 
"01003","0101.00","3","R",1406,1 
"01003","0102.00","1","R",1601,0.9154 
"01003","0102.00","1","U",148,0.0846 
"01003","0102.00","2","R",1125,0.9757 
"01003","0102.00","2","U",28,0.0243 
"01003","0103.00","1","R",2145,0.7131 
"01003","0103.00","1","U",863,0.2869 
"01003","0103.00","2","R",2480,0.806 
"01003","0103.00","2","U",597,0.194 
"01003","0103.00","3","R",1741,1 
"01003","0104.00","1","R",784,1 
